SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,16129.7414891816699090
ETH,Ethereum,1188.8816663550959295
USDT,Tether,0.9985367939878163
BNB,BNB,269.6025273059181292
USDC,USD Coin,0.9999381675317638
BUSD,Binance USD,1.0003632354119635
XRP,XRP,0.3325067426979224
ADA,Cardano,0.3207013107604301
DOGE,Dogecoin,0.0818613587057328
MATIC,Polygon,0.8617755156111056
DOT,Polkadot,5.5512735198970631
DAI,Multi Collateral DAI,0.9997664076967731
LUNA,Terra,1.5574874778762023
SHIB,Shiba Inu,0.0000087603484829
TRX,TRON,0.0506486446415792
SOL,Solana,12.6373853261023029
UNI,Uniswap,5.4883000409885177
LTC,Litecoin,55.9604544520689237
WBTC,Wrapped Bitcoin,16060.1409410549259387
LEO,UNUS SED LEO,3.8918231247090233
AVAX,Avalanche,12.2762023154084014
LINK,Chainlink,5.8196719734740127
ETC,Ethereum Classic,19.2350353546881469
ATOM,Cosmos,9.7545255993643589
XMR,Monero,126.5651430674791470
XLM,Stellar,0.0850687824013715
BCH,Bitcoin Cash,98.4841009463275824
ALGO,Algorand,0.2438087519463106
BTCB,Bitcoin BEP2,16128.5088339361673497
NEAR,NEAR Protocol,1.8329948781097585
CRO,Crypto.com Coin,0.0574083179068203
FIL,Filecoin,4.1619040774247212
VET,VeChain,0.0181717989576146
QNT,Quant,98.2917883248039779
FLOW,Flow,1.1409027946416696
FRAX,Frax,0.9970994501064586
CHZ,Chiliz,0.1818878501223301
OKB,OKB,17.4802238673433314
ICP,Internet Computer,3.7519766362971347
EGLD,MultiversX (Elrond),42.0241709581783595
USDP,Pax Dollar,0.9921528078385888
EOS,EOS,0.8570755319696094
XTZ,Tezos,0.9597586057291450
TWT,Trust Wallet Token,2.0857377985766176
TUSD,TrueUSD,0.9937056091227588
THETA,THETA,0.8530674182997698
SAND,The Sandbox,0.5652196932484423
MANA,Decentraland,0.4220689255205214
GUSD,Gemini Dollar,0.9710461885815658
AAVE,Aave,54.4074100490716236
KCS,KuCoin Token,7.6400935362287518
BSV,Bitcoin SV,38.1159049087570947
AXS,Axie Infinity,7.3239396071270336
HT,Huobi Token,4.4813570353642479
MKR,Maker,670.0876903916527175
HBAR,Hedera Hashgraph,0.0437011399913198
ZEC,Zcash,39.4779183769191897
MIOTA,IOTA,0.2066461983924123
CAKE,PancakeSwap,3.8652859135213108
PAXG,PAX Gold,1735.1322532202562504
XEC,eCash,0.0000273390945794
KLAY,Klaytn,0.1651762228164721
WEMIX,WEMIX,1.4232336172028240
NEO,Neo,6.3402319294242274
FTM,Fantom,0.1709959829894615
FEI,Fei Protocol,0.9787378151963749
GRT,The Graph,0.0592595588427585
BNX,BinaryX,143.1582687671390639
GT,GateToken,3.5347533968526183
MINA,Mina,0.5151594434478060
SNX,Synthetix,1.5976797797787013
NEXO,Nexo,0.6596677876450033
RUNE,THORChain,1.0934786360995224
DASH,Dash,32.6681496036936413
BAT,Basic Attention Token,0.2138042229839907
LRC,Loopring,0.2384065865332156
CRV,Curve DAO Token,0.5956341459948403
LDO,Lido DAO,1.0009885059054644
1INCH,1inch Network,0.4949237248003816
HNT,Helium,2.3392528649710370
CSPR,Casper,0.0289667241534058
ENJ,Enjin Coin,0.2999854570341635
CVX,Convex Finance,4.2389290533520900
KAVA,Kava,0.8950094709530966
AR,Arweave,8.5222055903991489
DCR,Decred,18.9892241217265201
STX,Stacks,0.2044045082509038
XDC,XinFin Network,0.0222995891228793
XEM,NEM,0.0301874218468669
ZIL,Zilliqa,0.0197196811490860
COMP,Compound,36.2990207037355115
HOT,Holo,0.0014672767271344
BTG,Bitcoin Gold,14.3471655310750064
RVN,Ravencoin,0.0205295450963173
BAL,Balancer,5.1042822034670696
WAVES,Waves,2.1037228258215592
DFI,DeFiChain,0.4475237590369678
GNO,Gnosis,87.1028766447212329
ROSE,Oasis Network,0.0438181352424796
IOTX,IoTeX,0.0230695178574041
